LNR,RESPONSE
1754,0.024015712716690816
1770,0.012586135804323653
1465,0.0003981462370076496
1470,0.000325367865511035
1478,8.61024970352173e-05
1782,0.0004071656321244583
1485,0.00017026723630707126
1519,0.00433690674191835
1835,0.005820145417614723
1522,0.0005226236604426583
1539,0.00017567423521678484
1853,0.025022068006035507
1856,0.004312216327141203
2502,0.0022006157465854553
2182,0.021450332214459654
2191,0.003815548993366264
2522,0.0063924793582452516
2530,0.051372650249287805
2215,6.275479657649864e-05
2550,0.020448723176687778
2570,0.0003913973918156172
2574,0.00016501303205252875
2579,0.0006082685246714944
2247,0.003093682071501008
2674,0.00018849759004680168
11434,0.00019493629773393106
11122,0.020700972076547176
11127,0.027277589442149815
11443,0.01537248399962738
11170,0.012417674433278198
11191,5.467576985384711e-05
11198,0.01597580800856275
10936,0.0102865165363371
11244,0.0034415578570630156
11247,0.011192779958787492
11252,0.0006455613713982212
11259,0.00952253008478578
10945,1.5628978316345005e-05
10951,0.0005287982910530865
11271,0.03073095423656764
10963,0.02230435610782508
11282,0.0016798445351615518
11291,0.0003093506513756789
10980,4.044482878365462e-05
10994,0.00011156077216929126
10998,0.012417674433278198
11303,0.0034147637768106045
11630,7.423232206361554e-05
11636,0.00029422323560178556
11949,0.0003676162584271377
11950,0.01129896493796032
11956,0.007145636321659617
11648,0.012417674433278198
11653,0.012397424478226355
11967,0.00013167675484901563
11972,0.0002134094414074358
11975,0.0005011404686317802
12110,0.00048095634746621405
12113,0.003687911479837885
11712,0.0004654629909980286
11716,0.0102865165363371
12000,4.3439968177631174e-05
11722,0.015262676898380066
12023,0.012417674433278198
12046,0.00027893442839737654
11762,0.00952253008478578
12071,0.000579399820579121
12077,0.0003938336588898633
11785,0.013770359393824278
11788,0.00040892521982181427
11790,4.0485032809950574e-05
11800,0.01078425785816998
11806,6.602012232458373e-05
11816,6.082584213617453e-05
11505,0.00031303806711030654
11837,0.0002549575106228692
11531,0.008744937734747072
11848,0.0001400534385485981
11854,0.00012464596120031527
11877,0.0009030254898821529
11563,5.734206176385605e-05
11567,0.0003107133719284478
11894,0.00038899779152933256
11906,0.000702603584861867
11917,0.012417674433278198
11610,0.012417674433278198
11923,0.00021053120673823075
12596,0.00013611946716071178
12603,0.0005195428890479223
12608,0.0006218804211873659
12633,0.00024789027916228916
12637,0.004305394298955587
21484,0.00952253008478578
21184,0.000527638974949033
21247,0.0010440614825653295
20991,0.023511534088968628
21018,0.000178830393108951
21019,0.006582262190336377
21047,0.00012896876134898652
21054,0.0004823779226800633
21374,0.0002668013839998663
21392,0.0006203979742748991
21713,0.00017926376134582577
22019,0.0012676907068221775
22025,0.005473333850515699
21722,0.0038950291139568005
21728,0.002578583283065372
22039,0.012417674433278198
22044,0.0006196291283412671
61900,0.0011238614374852727
62548,0.018950559111568243
63176,0.00019380300768332824
64473,0.007427014261758062
64779,0.02359601202462999
64780,0.00012852519714533187
